file,ply,side,san,raw,dcc,stability,adsr,trend,momentum,tunnel,dcc1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,1,w,e4,1,18,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,2,b,d5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,3,w,exd5,25,41,0.6,sustained,→,-0.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,4,b,Nf6,-25,-9,0.6,sustained,→,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,5,w,d4,26,43,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,6,b,Nxd5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,7,w,c4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,8,b,Nf6,-22,-6,0.6,sustained,→,-0.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,9,w,Nf3,22,39,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,10,b,e6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,11,w,Nc3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,12,b,Be7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,13,w,Bd3,106,122,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,14,b,O-O,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,15,w,Qe2,108,124,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,16,b,c5,-108,-91,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,17,w,dxc5,108,125,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,18,b,Nbd7,-108,-91,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,19,w,Bf4,108,124,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,20,b,Nxc5,-108,-91,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,21,w,O-O-O,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,22,b,Qb6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,23,w,Bc2,108,125,0.6,sustained,→,0.3,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,24,b,Bd7,-107,-91,0.6,sustained,→,-0.5,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,25,w,Ne5,107,122,0.5,sustained,→,0.7,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,26,b,Rfd8,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,27,w,g4,121,138,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,28,b,Be8,-109,-86,0.6,building,→,1.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,29,w,g5,127,111,0.2,volatile,→,-4.5,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,30,b,Nfd7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,31,w,Ng4,127,143,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,32,b,f5,-127,-110,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,33,w,gxf6,127,137,0.4,sustained,→,-1.8,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,34,b,Nxf6,-134,-120,0.4,sustained,→,1.8,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,35,w,Be5,134,145,0.4,sustained,→,-1.8,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,36,b,Bg6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,37,w,Bxg6,134,150,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,38,b,hxg6,-134,-118,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,39,w,Bd4,134,149,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,40,b,Nb3+,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,41,w,axb3,134,145,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,42,b,Rxd4,-134,-140,0.25,mixed,↓,-15.7,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,43,w,Rxd4,124,122,0,mixed,→,3.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,44,b,Qxd4,-124,-133,0,mixed,→,-3.3,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,45,w,Qxe6+,124,135,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,46,b,Kf8,-124,-113,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,47,w,Re1,124,128,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,48,b,Re8,-124,-120,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,49,w,Nxf6,124,138,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,50,b,Qxf6,-124,-110,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,51,w,Qe3,124,128,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,52,b,Qf7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,53,w,Rd1,127,143,0.6,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,54,b,b6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,55,w,Rd7,144,155,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,56,b,Qf5,-144,-140,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,57,w,Rd5,144,128,0,spike,→,-242,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,58,b,Qf7,-144,-130,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,59,w,Qg3,144,158,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,60,b,Kg8,-144,-140,0.5,unknown,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,61,w,Ne4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,62,b,Rd8,-139,-128,0.333,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,63,w,Qe5,139,144,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,64,b,Re8,-139,-135,0,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,65,w,f3,139,123,0.5,collapse,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,66,b,Bh4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,67,w,Qc3,153,158,0.5,unknown,→,0,0,1
