file,white,black,result,dcc_depth,w_acc,b_acc,gap,gap_cat,w_stab,b_stab,w_collapses,b_collapses,w_tunnels,b_tunnels,w_coverage,b_coverage,turning_point_ply,w_sustained,w_building,w_spike,w_collapse,b_sustained,b_building,b_spike,b_collapse,total_moves
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,92,51,41,demolition,0.43,0.373,1,0,0,0,93,53,13,37,0,1,1,26,1,0,0,119
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,89,56,33,demolition,0.437,0.388,0,0,0,0,90,56,9,44,0,1,0,35,1,0,0,140
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,74,51,23,clear,0.461,0.448,0,1,0,0,79,53,9,35,1,0,0,30,0,0,1,140
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,70,59,11,close,0.423,0.417,0,1,0,0,72,60,9,33,0,0,0,30,0,0,1,141
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,88,64,24,clear,0.396,0.391,5,0,0,0,89,64,11,53,0,0,5,40,6,0,0,152
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,82,50,32,demolition,0.44,0.415,0,0,0,0,82,51,13,40,0,0,0,35,0,0,0,157
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,71,73,2,tight,0.415,0.447,2,3,0,1,81,76,13,42,4,2,2,44,2,0,3,157
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,81,59,22,clear,0.437,0.45,0,1,0,0,86,61,9,44,3,2,0,39,1,0,1,159
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,83,64,19,close,0.391,0.386,8,0,0,0,84,65,13,47,0,1,8,41,7,1,0,163
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,86,65,21,clear,0.473,0.474,0,0,0,0,86,65,13,56,0,0,0,45,0,0,0,166
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,58,46,12,close,0.45,0.432,0,0,0,0,60,45,9,34,0,0,0,27,0,0,0,165
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,81,69,12,close,0.4,0.366,5,1,0,0,86,70,13,53,1,0,5,47,7,0,1,167
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,86,73,13,close,0.439,0.45,1,1,1,0,86,75,9,61,4,0,1,49,2,0,1,167
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,68,54,14,close,0.377,0.389,6,0,0,0,68,54,11,38,1,0,6,32,4,0,0,167
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,85,64,21,clear,0.42,0.402,5,3,0,1,85,65,9,44,2,0,5,44,3,0,3,169
TCEC_Cup14_SF_vs_Lc0_2024.pgn,Stockfish dev-20240928-d6043970,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,1-0,10,76,54,22,clear,0.428,0.39,5,0,0,0,77,54,11,38,5,1,5,38,5,0,0,171
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,83,60,23,clear,0.431,0.389,0,2,0,0,89,60,9,52,3,0,0,46,0,0,2,173
TCEC_Cup14_SF_vs_Lc0_2024.pgn,LCZero 0.31-dag-4167c1e-BT4-6147500-it332,Stockfish dev-20240928-d6043970,1-0,10,71,60,11,close,0.428,0.452,3,1,0,0,80,64,13,47,0,0,3,43,2,0,1,181
