order,node_id_1based,x,y,next_node_id_1based
0,1,12661.6667,86437.2222,1454
1,1454,12661.6667,86437.2222,3087
2,3087,12661.6667,86437.2222,561
3,561,12616.6667,86450.0,1823
4,1823,12600.0,86450.0,944
5,944,12550.0,86483.3333,2546
6,2546,12516.6667,86483.3333,1470
7,1470,12500.0,86450.0,2553
8,2553,12472.7778,86464.4444,124
9,124,12450.0,86466.6667,2791
10,2791,12400.0,86483.3333,1351
11,1351,12350.0,86483.3333,2683
12,2683,12250.0,86466.6667,461
13,461,12266.6667,86483.3333,3253
14,3253,12283.3333,86533.3333,2828
15,2828,12283.3333,86533.3333,1613
16,1613,12300.0,86566.6667,2030
17,2030,12300.0,86600.0,3057
18,3057,12300.0,86600.0,1980
19,1980,12283.3333,86600.0,2485
20,2485,12283.3333,86616.6667,834
21,834,12300.0,86650.0,2561
22,2561,12333.3333,86633.3333,2463
23,2463,12350.0,86650.0,2440
24,2440,12383.3333,86616.6667,1067
25,1067,12405.5556,86611.6667,1350
26,1350,12405.5556,86611.6667,1352
27,1352,12405.5556,86611.6667,3484
28,3484,12411.1111,86618.3333,1692
29,1692,12416.6667,86633.3333,1267
30,1267,12450.0,86616.6667,3361
31,3361,12433.3333,86666.6667,575
32,575,12400.0,86666.6667,1539
33,1539,12366.6667,86666.6667,1866
34,1866,12340.0,86675.2778,1865
35,1865,12340.0,86675.2778,1864
36,1864,12340.0,86675.2778,1175
37,1175,12340.0,86675.2778,1174
38,1174,12350.0,86700.0,1861
39,1861,12350.0,86700.0,1862
40,1862,12350.0,86700.0,416
41,416,12366.6667,86700.0,707
42,707,12383.3333,86716.6667,1724
43,1724,12400.0,86733.3333,1808
44,1808,12433.3333,86733.3333,1722
45,1722,12433.3333,86750.0,614
46,614,12416.6667,86766.6667,482
47,482,12400.0,86766.6667,3411
48,3411,12383.3333,86750.0,582
49,582,12366.6667,86750.0,3410
50,3410,12366.6667,86750.0,3412
51,3412,12366.6667,86750.0,108
52,108,12333.3333,86733.3333,432
53,432,12300.0,86716.6667,1746
54,1746,12300.0,86683.3333,470
55,470,12283.3333,86683.3333,2774
56,2774,12266.6667,86683.3333,2689
57,2689,12233.3333,86666.6667,885
58,885,12250.0,86633.3333,1834
59,1834,12233.3333,86616.6667,164
60,164,12250.0,86600.0,725
61,725,12266.6667,86583.3333,1304
62,1304,12267.5,86565.2778,1303
63,1303,12267.5,86565.2778,2552
64,2552,12250.0,86550.0,678
65,678,12233.3333,86550.0,3077
66,3077,12233.3333,86550.0,2387
67,2387,12233.3333,86566.6667,708
68,708,12200.0,86600.0,1513
69,1513,12183.3333,86583.3333,3316
70,3316,12150.0,86566.6667,3301
71,3301,12133.3333,86583.3333,260
72,260,12133.3333,86583.3333,720
73,720,12116.6667,86566.6667,3303
74,3303,12116.6667,86566.6667,2049
75,2049,12100.0,86583.3333,3191
76,3191,12100.0,86583.3333,3312
77,3312,12100.0,86600.0,719
78,719,12116.6667,86616.6667,2653
79,2653,12133.3333,86650.0,1375
80,1375,12116.6667,86683.3333,2268
81,2268,12100.0,86666.6667,2652
82,2652,12100.0,86666.6667,2767
83,2767,12083.3333,86633.3333,798
84,798,12066.6667,86666.6667,2482
85,2482,12050.0,86666.6667,356
86,356,12033.3333,86633.3333,960
87,960,11983.3333,86650.0,2409
88,2409,12016.6667,86683.3333,1763
89,1763,12050.0,86700.0,223
90,223,12054.1667,86705.2778,2404
91,2404,12054.1667,86705.2778,2859
92,2859,12066.6667,86700.0,784
93,784,12100.0,86733.3333,783
94,783,12150.0,86750.0,3496
95,3496,12162.5,86755.0,1828
96,1828,12166.6667,86750.0,323
97,323,12199.4444,86763.0556,877
98,877,12199.4444,86763.0556,1061
99,1061,12199.4444,86763.0556,1063
100,1063,12199.4444,86763.0556,1072
