# 🇪🇺 EU Capitals (South/East - 14 Stops)
Lisbon | 38.7223, -9.1393 START
Madrid | 40.4168, -3.7038
Rome | 41.9028, 12.4964
Valletta | 35.8992, 14.5141
Athens | 37.9838, 23.7275
Nicosia | 35.1856, 33.3823
Sofia | 42.6977, 23.3219
Bucharest | 44.4268, 26.1025
Budapest | 47.4979, 19.0402
Vienna | 48.2082, 16.3738
Bratislava | 48.1486, 17.1077
Prague | 50.0755, 14.4378
Ljubljana | 46.0569, 14.5058
Zagreb | 45.8150, 15.9819
Toledo | 39.8628, -4.0273
Florence | 43.7696, 11.2558
Syracuse | 37.0754, 15.2800
Fira, Santorini, Greece | 36.4168, 25.4290
Veliko Tarnovo | 43.0789, 25.6172
Brașov | 45.6573, 25.5997
Melk Abbey, Melk, Austria | 48.2283, 15.3333
Český Krumlov | 48.8139, 14.3150
Hallstatt | 47.5622, 13.6481
Plitvice Lakes National Park, Plitvicka Jezera, Croatia | 44.8654, 15.6105
Sintra, Portugal | 38.7990, -9.3906
Seville, Spain | 37.3891, -5.9845
Positano, Italy | 40.6293, 14.4849
Meteora, Greece | 39.7188, 21.6265
Rila Monastery, Bulgaria | 42.1226, 23.3400
Sighișoara, Romania | 46.2166, 24.7928
Salzburg, Austria | 47.7950, 13.0444
Kutná Hora, Czech Republic | 49.9497, 15.2678
Lake Bled, Slovenia | 46.3687, 14.1146
Dubrovnik, Croatia | 42.6507, 18.0944
Porto, Portugal | 41.1579, -8.6291
Granada, Spain | 37.1773, -3.5986
Venice, Italy | 45.4408, 12.3155
Monterosso al Mare, Cinque Terre, Italy | 44.1458, 9.6582
Delphi, Greece | 38.4822, 22.5015
Split, Croatia | 43.5110, 16.4402
Kotor, Montenegro | 42.4247, 18.7712
Mostar, Bosnia & Herzegovina | 43.3438, 17.8105
Krakow, Poland | 50.0647, 19.9450
Dürnstein, Wachau Valley, Austria | 48.3965, 15.5186
Santiago de Compostela, Spain | 42.8806, -8.5448
Munich, Germany | 48.1351, 11.5820
Neuschwanstein Castle, Germany | 47.5576, 10.7498
Milan, Italy | 45.4642, 9.1900
Lake Como, Italy | 45.9818, 9.2743
Olympia, Greece | 37.6385, 21.6293
Sibiu, Romania | 45.7983, 24.1256
Hvar, Croatia | 43.1725, 16.4429
High Tatras, Slovakia (e.g., Starý Smokovec) | 49.1417, 20.2195
Ohrid, North Macedonia | 41.1170, 20.8030
Verona, Italy | 45.4384, 10.9916
Tirana, Albania | 41.3275, 19.8190
